ID	Percent_Mapped	filesize	type	plate	platePOS	plateCOL	plateROW	fsize.cut	permap.cut
169	99.72644862425622	5392	unknown	2	10	10	1	>3Mb	>90%
17	99.26403207331043	3844	unknown	1	3	3	1	>3Mb	>90%
170	98.92721289054153	5076	unknown	2	10	10	2	>3Mb	>90%
171	99.00329533790719	4116	unknown	2	10	10	3	>3Mb	>90%
172	99.32070811033347	4744	unknown	2	10	10	4	>3Mb	>90%
173	98.70133157814794	4452	unknown	2	10	10	5	>3Mb	>90%
174	99.11709789277141	4188	unknown	2	10	10	6	>3Mb	>90%
175	98.66530357244278	3908	unknown	2	10	10	7	>3Mb	>90%
176	98.82802628253728	3484	unknown	2	10	10	8	>3Mb	>90%
177	99.58030069595706	4188	unknown	2	11	11	1	>3Mb	>90%
178	81.65979294672165	2740	unknown	2	11	11	2	1.5Mb-3Mb	65-90%
179	91.98931909212284	356	"suspicious NTC"	2	11	11	3	0-750Kb	>90%
18	99.48622351550422	4800	unknown	1	3	3	2	>3Mb	>90%
180	99.10052075114407	4180	unknown	2	11	11	4	>3Mb	>90%
181	98.98241454258053	3444	unknown	2	11	11	5	>3Mb	>90%
182	98.14390711546656	4056	unknown	2	11	11	6	>3Mb	>90%
183	98.66834875245304	3892	unknown	2	11	11	7	>3Mb	>90%
184	98.7814762779639	3916	unknown	2	11	11	8	>3Mb	>90%
185	99.6939841767428	3008	unknown	2	12	12	1	>3Mb	>90%
186	3.1014249790444257	304	unknown	2	12	12	2	0-750Kb	0-25%
187	29.13285241959723	1664	unknown	2	12	12	3	1.5Mb-3Mb	25-65%
188	99.38470144035799	3148	unknown	2	12	12	4	>3Mb	>90%
189	99.09843875980357	3044	unknown	2	12	12	5	>3Mb	>90%
19	99.32111941183446	3696	unknown	1	3	3	3	>3Mb	>90%
190	98.92211172662351	3344	unknown	2	12	12	6	>3Mb	>90%
191	98.58816330098786	2608	unknown	2	12	12	7	1.5Mb-3Mb	>90%
192	98.98812057423673	5692	unknown	2	12	12	8	>3Mb	>90%
193	99.33424266043129	3456	unknown	3	1	1	1	>3Mb	>90%
194	98.93459785687892	3568	unknown	3	1	1	2	>3Mb	>90%
195	71.45667570167001	2752	unknown	3	1	1	3	1.5Mb-3Mb	65-90%
196	92.62337662337661	3572	unknown	3	1	1	4	>3Mb	>90%
197	89.71535982814179	3864	unknown	3	1	1	5	>3Mb	65-90%
198	99.14000964475164	4060	unknown	3	1	1	6	>3Mb	>90%
199	99.18962258748067	3768	unknown	3	1	1	7	>3Mb	>90%
2	98.85039440659735	4884	unknown	1	1	1	2	>3Mb	>90%
20	98.63428659444473	4224	unknown	1	3	3	4	>3Mb	>90%
200	98.94464720194647	3548	unknown	3	1	1	8	>3Mb	>90%
201	99.03917449332674	3624	unknown	3	2	2	1	>3Mb	>90%
202	44.28616484440707	2260	unknown	3	2	2	2	1.5Mb-3Mb	25-65%
203	99.14740345597957	4780	unknown	3	2	2	3	>3Mb	>90%
204	99.48132780082987	6224	unknown	3	2	2	4	>3Mb	>90%
205	96.67539135249409	4288	unknown	3	2	2	5	>3Mb	>90%
206	96.80766388083461	3812	unknown	3	2	2	6	>3Mb	>90%
207	99.04396097342155	3760	unknown	3	2	2	7	>3Mb	>90%
208	99.15261565067013	2444	unknown	3	2	2	8	1.5Mb-3Mb	>90%
209	99.56238884208555	4596	unknown	3	3	3	1	>3Mb	>90%
21	99.02237671084076	4052	unknown	1	3	3	5	>3Mb	>90%
210	99.19410220157545	5424	unknown	3	3	3	2	>3Mb	>90%
211	99.11265258321697	4864	unknown	3	3	3	3	>3Mb	>90%
212	99.74710754251754	3436	unknown	3	3	3	4	>3Mb	>90%
213	99.1233721411808	4812	unknown	3	3	3	5	>3Mb	>90%
214	98.96997441766527	5000	unknown	3	3	3	6	>3Mb	>90%
215	6.089743589743589	200	"trusted NTC"	3	3	3	7	0-750Kb	0-25%
216	99.20756891749112	4448	unknown	3	3	3	8	>3Mb	>90%
217	99.66309410753856	4888	unknown	3	4	4	1	>3Mb	>90%
218	99.0474719390382	4292	unknown	3	4	4	2	>3Mb	>90%
219	98.89760390262566	4672	unknown	3	4	4	3	>3Mb	>90%
22	99.13315369362957	4448	unknown	1	3	3	6	>3Mb	>90%
220	99.2430035173574	4296	unknown	3	4	4	4	>3Mb	>90%
221	98.9742943548387	4368	unknown	3	4	4	5	>3Mb	>90%
222	98.96188982190644	4816	unknown	3	4	4	6	>3Mb	>90%
223	99.10889100858476	4420	unknown	3	4	4	7	>3Mb	>90%
224	99.24797316186749	3992	unknown	3	4	4	8	>3Mb	>90%
225	99.4277635653696	4972	unknown	3	5	5	1	>3Mb	>90%
226	99.11964311138532	4752	unknown	3	5	5	2	>3Mb	>90%
227	99.07188960605386	5040	unknown	3	5	5	3	>3Mb	>90%
228	99.25431475133803	3572	unknown	3	5	5	4	>3Mb	>90%
229	98.89126589048422	5388	unknown	3	5	5	5	>3Mb	>90%
23	99.28985507246378	4520	unknown	1	3	3	7	>3Mb	>90%
230	99.2345084499364	4824	unknown	3	5	5	6	>3Mb	>90%
231	99.17625765732319	4584	unknown	3	5	5	7	>3Mb	>90%
232	92.09079045488441	4620	unknown	3	5	5	8	>3Mb	>90%
233	99.52110677545228	3680	unknown	3	6	6	1	>3Mb	>90%
234	99.0161367195479	3184	unknown	3	6	6	2	>3Mb	>90%
235	99.06489365838486	5780	unknown	3	6	6	3	>3Mb	>90%
236	99.04993909866016	4520	unknown	3	6	6	4	>3Mb	>90%
237	98.55072463768117	68	unknown	3	6	6	5	0-750Kb	>90%
238	98.98125699365909	4724	unknown	3	6	6	6	>3Mb	>90%
239	98.80644908820537	2728	unknown	3	6	6	7	1.5Mb-3Mb	>90%
24	99.25553228303433	4712	unknown	1	3	3	8	>3Mb	>90%
240	99.06967268776314	3228	unknown	3	6	6	8	>3Mb	>90%
241	99.4939077041159	4624	unknown	3	7	7	1	>3Mb	>90%
242	99.14913892859573	3272	unknown	3	7	7	2	>3Mb	>90%
243	98.93395993074449	4404	unknown	3	7	7	3	>3Mb	>90%
244	99.2379835873388	3968	unknown	3	7	7	4	>3Mb	>90%
245	99.18416642019126	4520	unknown	3	7	7	5	>3Mb	>90%
246	98.87840885790446	5280	unknown	3	7	7	6	>3Mb	>90%
247	99.00565412361084	3368	unknown	3	7	7	7	>3Mb	>90%
248	99.14915823387939	4712	unknown	3	7	7	8	>3Mb	>90%
249	99.55080608770562	5412	unknown	3	8	8	1	>3Mb	>90%
25	99.64161540518856	4148	unknown	1	4	4	1	>3Mb	>90%
250	98.82941495391592	4372	unknown	3	8	8	2	>3Mb	>90%
251	4.3478260869565215	192	"trusted NTC"	3	8	8	3	0-750Kb	0-25%
252	99.1929245526275	4324	unknown	3	8	8	4	>3Mb	>90%
253	98.67629026864341	4076	unknown	3	8	8	5	>3Mb	>90%
254	99.0038472107722	4836	unknown	3	8	8	6	>3Mb	>90%
255	98.7757514353259	3924	unknown	3	8	8	7	>3Mb	>90%
256	99.64711957769107	3776	unknown	3	8	8	8	>3Mb	>90%
257	99.56684551754974	3984	unknown	3	9	9	1	>3Mb	>90%
258	99.14858348402652	4296	unknown	3	9	9	2	>3Mb	>90%
259	98.92255387230638	4440	unknown	3	9	9	3	>3Mb	>90%
26	99.23873458821465	5072	unknown	1	4	4	2	>3Mb	>90%
260	99.31445824877494	4460	unknown	3	9	9	4	>3Mb	>90%
261	98.8199611392825	4704	unknown	3	9	9	5	>3Mb	>90%
262	98.64160148036	5356	unknown	3	9	9	6	>3Mb	>90%
263	98.91231170579819	5252	unknown	3	9	9	7	>3Mb	>90%
264	98.85033978846252	4244	unknown	3	9	9	8	>3Mb	>90%
265	99.54579673776662	4380	unknown	3	10	10	1	>3Mb	>90%
266	99.02455977757182	4692	unknown	3	10	10	2	>3Mb	>90%
267	99.0106430819967	4508	unknown	3	10	10	3	>3Mb	>90%
268	99.0590525632706	3044	unknown	3	10	10	4	>3Mb	>90%
269	98.79727869118004	2780	unknown	3	10	10	5	1.5Mb-3Mb	>90%
27	99.03198653198653	3408	unknown	1	4	4	3	>3Mb	>90%
270	98.86797334885827	3540	unknown	3	10	10	6	>3Mb	>90%
271	98.51687251304843	4292	unknown	3	10	10	7	>3Mb	>90%
272	98.873393220507225	4424	unknown	3	10	10	8	>3Mb	>90%
273	99.50651719143914	4180	unknown	3	11	11	1	>3Mb	>90%
274	98.91203577466325	4140	unknown	3	11	11	2	>3Mb	>90%
275	99.16156700236111	4544	unknown	3	11	11	3	>3Mb	>90%
276	99.24900470503076	3708	unknown	3	11	11	4	>3Mb	>90%
277	99.05767361486122	4184	unknown	3	11	11	5	>3Mb	>90%
278	98.95715054084742	3744	unknown	3	11	11	6	>3Mb	>90%
279	98.92164781906301	2768	unknown	3	11	11	7	1.5Mb-3Mb	>90%
28	99.27367809413133	4176	unknown	1	4	4	4	>3Mb	>90%
280	98.66766147942869	2996	unknown	3	11	11	8	1.5Mb-3Mb	>90%
281	99.17802882742501	2912	unknown	3	12	12	1	1.5Mb-3Mb	>90%
282	81.77966101694916	388	unknown	3	12	12	2	0-750Kb	65-90%
283	80.56020066889631	1924	unknown	3	12	12	3	1.5Mb-3Mb	65-90%
284	62.907848324514994	1080	unknown	3	12	12	4	750Kb-1.5Mb	25-65%
285	98.98235412071385	2196	unknown	3	12	12	5	1.5Mb-3Mb	>90%
286	74.63689179375453	2620	unknown	3	12	12	6	1.5Mb-3Mb	65-90%
287	98.67821701643078	2796	unknown	3	12	12	7	1.5Mb-3Mb	>90%
288	98.39489537095751	2824	unknown	3	12	12	8	1.5Mb-3Mb	>90%
289	99.62024582560296	3828	unknown	4	1	1	1	>3Mb	>90%
29	99.29587940695195	4456	unknown	1	4	4	5	>3Mb	>90%
290	98.75555096560983	4204	unknown	4	1	1	2	>3Mb	>90%
291	99.18826776340711	4076	unknown	4	1	1	3	>3Mb	>90%
292	99.13417909065654	4776	unknown	4	1	1	4	>3Mb	>90%
293	99.28195792880258	4336	unknown	4	1	1	5	>3Mb	>90%
294	99.29635560731789	4500	unknown	4	1	1	6	>3Mb	>90%
295	99.44489712772459	4256	unknown	4	1	1	7	>3Mb	>90%
296	98.8845193980186	2860	unknown	4	1	1	8	1.5Mb-3Mb	>90%
297	99.49673864147547	3852	unknown	4	2	2	1	>3Mb	>90%
298	99.01270944192795	4940	unknown	4	2	2	2	>3Mb	>90%
299	98.9839454585441	4972	unknown	4	2	2	3	>3Mb	>90%
3	99.00718208703	4232	unknown	1	1	1	3	>3Mb	>90%
30	99.1524167243254	4544	unknown	1	4	4	6	>3Mb	>90%
300	98.92686969131967	5336	unknown	4	2	2	4	>3Mb	>90%
301	99.39588926951208	4780	unknown	4	2	2	5	>3Mb	>90%
302	98.95122395122395	4872	unknown	4	2	2	6	>3Mb	>90%
303	99.22349161013923	4736	unknown	4	2	2	7	>3Mb	>90%
304	99.18708078156897	2916	unknown	4	2	2	8	1.5Mb-3Mb	>90%
