size	name
2756	_S440_L001_R1_001.fastq.gz
2764	_S521_L001_R2_001.fastq.gz
2768	_S279_L001_R2_001.fastq.gz
2780	_S178_L001_R2_001.fastq.gz
2780	_S208_L001_R1_001.fastq.gz
2780	_S269_L001_R1_001.fastq.gz
2788	_S479_L001_R2_001.fastq.gz
2796	_S287_L001_R1_001.fastq.gz
2800	_S195_L001_R2_001.fastq.gz
2824	_S279_L001_R1_001.fastq.gz
2824	_S288_L001_R2_001.fastq.gz
2828	_S647_L001_R2_001.fastq.gz
2836	_S239_L001_R1_001.fastq.gz
2840	_S521_L001_R1_001.fastq.gz
2848	_S375_L001_R2_001.fastq.gz
2848	_S647_L001_R1_001.fastq.gz
2856	_S287_L001_R2_001.fastq.gz
2860	_S296_L001_R2_001.fastq.gz
2860	_S653_L001_R2_001.fastq.gz
2864	_S697_L001_R1_001.fastq.gz
2864	_S94_L001_R1_001.fastq.gz
2868	_S478_L001_R1_001.fastq.gz
2872	_S67_L001_R2_001.fastq.gz
2880	_S592_L001_R2_001.fastq.gz
2892	_S115_L001_R2_001.fastq.gz
2892	_S269_L001_R2_001.fastq.gz
2896	_S288_L001_R1_001.fastq.gz
2896	_S375_L001_R1_001.fastq.gz
2896	_S478_L001_R2_001.fastq.gz
2896	_S67_L001_R1_001.fastq.gz
2908	_S115_L001_R1_001.fastq.gz
2908	_S94_L001_R2_001.fastq.gz
2912	_S281_L001_R1_001.fastq.gz
2916	_S304_L001_R2_001.fastq.gz
2924	_S625_L001_R1_001.fastq.gz
2928	_S625_L001_R2_001.fastq.gz
2932	_S400_L001_R1_001.fastq.gz
2932	_S473_L001_R1_001.fastq.gz
2940	_S697_L001_R2_001.fastq.gz
2948	_S473_L001_R2_001.fastq.gz
2956	_S281_L001_R2_001.fastq.gz
2956	_S489_L001_R2_001.fastq.gz
2960	_S296_L001_R1_001.fastq.gz
2996	_S280_L001_R2_001.fastq.gz
3008	_S185_L001_R1_001.fastq.gz
3008	_S489_L001_R1_001.fastq.gz
3036	_S185_L001_R2_001.fastq.gz
3036	_S670_L001_R1_001.fastq.gz
3040	_S420_L001_R2_001.fastq.gz
3040	_S539_L001_R1_001.fastq.gz
3044	_S189_L001_R1_001.fastq.gz
3044	_S268_L001_R2_001.fastq.gz
3064	_S539_L001_R2_001.fastq.gz
3084	_S475_L001_R2_001.fastq.gz
3104	_S189_L001_R2_001.fastq.gz
3104	_S670_L001_R2_001.fastq.gz
3108	_S483_L001_R1_001.fastq.gz
3116	_S761_L001_R1_001.fastq.gz
3128	_S268_L001_R1_001.fastq.gz
3128	_S280_L001_R1_001.fastq.gz
3136	_S475_L001_R1_001.fastq.gz
3140	_S342_L001_R2_001.fastq.gz
3148	_S188_L001_R2_001.fastq.gz
3152	_S483_L001_R2_001.fastq.gz
3156	_S604_L001_R2_001.fastq.gz
3156	_S99_L001_R1_001.fastq.gz
3164	_S761_L001_R2_001.fastq.gz
3180	_S188_L001_R1_001.fastq.gz
3180	_S395_L001_R2_001.fastq.gz
3184	_S234_L001_R2_001.fastq.gz
3184	_S601_L001_R1_001.fastq.gz
3188	_S604_L001_R1_001.fastq.gz
3188	_S99_L001_R2_001.fastq.gz
3192	_S342_L001_R1_001.fastq.gz
3192	_S577_L001_R1_001.fastq.gz
3192	_S630_L001_R2_001.fastq.gz
3192	_S631_L001_R2_001.fastq.gz
3208	_S577_L001_R2_001.fastq.gz
3212	_S113_L001_R2_001.fastq.gz
3212	_S631_L001_R1_001.fastq.gz
3216	_S395_L001_R1_001.fastq.gz
3224	_S92_L001_R2_001.fastq.gz
3228	_S240_L001_R2_001.fastq.gz
3228	_S343_L001_R1_001.fastq.gz
3228	_S343_L001_R2_001.fastq.gz
3232	_S370_L001_R1_001.fastq.gz
3236	_S240_L001_R1_001.fastq.gz
3240	_S37_L001_R1_001.fastq.gz
3240	_S385_L001_R2_001.fastq.gz
3248	_S385_L001_R1_001.fastq.gz
3252	_S487_L001_R2_001.fastq.gz
3252	_S592_L001_R1_001.fastq.gz
3256	_S630_L001_R1_001.fastq.gz
3272	_S242_L001_R2_001.fastq.gz
3272	_S335_L001_R2_001.fastq.gz
3272	_S601_L001_R2_001.fastq.gz
3280	_S92_L001_R1_001.fastq.gz
3288	_S370_L001_R2_001.fastq.gz
3288	_S632_L001_R2_001.fastq.gz
3292	_S487_L001_R1_001.fastq.gz
3296	_S304_L001_R1_001.fastq.gz
3296	_S380_L001_R2_001.fastq.gz
3296	_S420_L001_R1_001.fastq.gz
3300	_S113_L001_R1_001.fastq.gz
3300	_S242_L001_R1_001.fastq.gz
3300	_S665_L001_R1_001.fastq.gz
3304	_S486_L001_R2_001.fastq.gz
3308	_S234_L001_R1_001.fastq.gz
3320	_S397_L001_R1_001.fastq.gz
3320	_S665_L001_R2_001.fastq.gz
3332	_S397_L001_R2_001.fastq.gz
3332	_S652_L001_R2_001.fastq.gz
3336	_S603_L001_R2_001.fastq.gz
3340	_S380_L001_R1_001.fastq.gz
3340	_S608_L001_R1_001.fastq.gz
3344	_S165_L001_R1_001.fastq.gz
3344	_S190_L001_R1_001.fastq.gz
3344	_S419_L001_R2_001.fastq.gz
3348	_S673_L001_R1_001.fastq.gz
3356	_S132_L001_R2_001.fastq.gz
3356	_S486_L001_R1_001.fastq.gz
3356	_S575_L001_R1_001.fastq.gz
3356	_S603_L001_R1_001.fastq.gz
3356	_S608_L001_R2_001.fastq.gz
3364	_S37_L001_R2_001.fastq.gz
3368	_S247_L001_R2_001.fastq.gz
3372	_S334_L001_R1_001.fastq.gz
3372	_S481_L001_R1_001.fastq.gz
3376	_S247_L001_R1_001.fastq.gz
3376	_S632_L001_R1_001.fastq.gz
3380	_S673_L001_R2_001.fastq.gz
3384	_S583_L001_R2_001.fastq.gz
3388	_S335_L001_R1_001.fastq.gz
3388	_S419_L001_R1_001.fastq.gz
3388	_S481_L001_R2_001.fastq.gz
3388	_S652_L001_R1_001.fastq.gz
3392	_S163_L001_R2_001.fastq.gz
3392	_S190_L001_R2_001.fastq.gz
3392	_S341_L001_R1_001.fastq.gz
3396	_S109_L001_R1_001.fastq.gz
3400	_S485_L001_R1_001.fastq.gz
3408	_S27_L001_R2_001.fastq.gz
3408	_S495_L001_R2_001.fastq.gz
3408	_S505_L001_R1_001.fastq.gz
3412	_S93_L001_R1_001.fastq.gz
3424	_S111_L001_R2_001.fastq.gz
3424	_S471_L001_R2_001.fastq.gz
3428	_S163_L001_R1_001.fastq.gz
3428	_S583_L001_R1_001.fastq.gz
3432	_S341_L001_R2_001.fastq.gz
3432	_S575_L001_R2_001.fastq.gz
3436	_S109_L001_R2_001.fastq.gz
3436	_S212_L001_R2_001.fastq.gz
3436	_S579_L001_R1_001.fastq.gz
3440	_S328_L001_R2_001.fastq.gz
3440	_S484_L001_R1_001.fastq.gz
3444	_S181_L001_R1_001.fastq.gz
3444	_S212_L001_R1_001.fastq.gz
3448	_S27_L001_R1_001.fastq.gz
3452	_S569_L001_R1_001.fastq.gz
3456	_S193_L001_R1_001.fastq.gz
3456	_S334_L001_R2_001.fastq.gz
3464	_S696_L001_R2_001.fastq.gz
3468	_S428_L001_R2_001.fastq.gz
3472	_S488_L001_R2_001.fastq.gz
