Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-284	4.882422	0	0.005706999999999999	62.907848324514994	10.295414462081128	42.69179894179894	0.009072
SORT-285	5.487667999999999	0	0.019745	98.98235412071385	31.26127932624825	52.99278123120112	0.019948
SORT-286	5.117868	0	0.016444	74.63689179375453	16.167392883079156	47.62618010167029	0.022032
SORT-287	5.2529699999999995	0	0.024263	98.67821701643078	27.444281763461852	56.53164145111437	0.024588
SORT-288	4.218234	0	0.024827	98.39489537095751	12.484147114774888	76.53376664552948	0.025231999999999997
SORT-289	4.7951760000000005	0	0.034365	99.62024582560296	19.237012987012985	64.21614100185529	0.034496
SORT-29	6.305853	0	0.040049999999999995	99.29587940695195	47.80582139138196	38.72911191550553	0.040333999999999995
SORT-290	5.35599	0	0.03825	98.75555096560983	33.1353919239905	51.53877930393473	0.038731999999999996
SORT-291	5.562409	0	0.036657999999999996	99.18826776340711	32.80480545484063	50.744087883543486	0.036958
SORT-292	5.881498000000001	0	0.042822	99.13417909065654	38.39244374479118	45.622279840725994	0.043196
SORT-293	6.110933	0	0.039268	99.28195792880258	39.411407766990294	44.766383495145625	0.039552
SORT-294	5.708335	0	0.040923999999999995	99.29635560731789	35.00266899597224	49.706410443053336	0.041214
SORT-295	5.7599089999999995	0	0.039054	99.44489712772459	35.66408637196985	48.67080871867998	0.039272
SORT-296	5.346273	0	0.026150999999999997	98.8845193980186	31.762837480148225	53.73969598426983	0.026445999999999997
SORT-297	4.662944	0	0.035389	99.49673864147547	16.346153846153847	67.60290148448043	0.035567999999999995
SORT-298	5.568923	0	0.045029	99.01270944192795	32.88623070495624	51.01587580808303	0.045478
SORT-299	5.660416	0	0.045008	98.9839454585441	33.648559489773476	50.14515064877941	0.04547
SORT-3	5.423879	0	0.037496	99.00718208703	30.397127165188003	53.50918884664132	0.037871999999999996
